y-m-d_hr:mn:sc,moisture level (50-100mm),temperature 1,light level 1,waterIsOn,moisture level (Vegetronix @ 50mm)
2010-8-18_18:1,250,44,552,0,355
2010-8-18_18:16,250,44,504,0,353
2010-8-18_18:31,247,44,554,0,344
2010-8-18_18:46,249,43,453,0,347
2010-8-18_19:1,246,43,367,0,346
2010-8-18_19:16,245,43,287,0,343
2010-8-18_19:31,245,43,239,0,346
2010-8-18_19:46,243,44,170,0,339
2010-8-18_20:1,243,43,106,0,343
2010-8-18_20:16,241,43,63,0,387
2010-8-18_20:31,239,43,56,0,392
2010-8-18_20:46,240,43,55,0,387
2010-8-18_21:1,238,43,54,0,389
2010-8-18_21:16,238,43,53,0,390
2010-8-18_21:31,234,43,53,0,387
2010-8-18_21:46,232,42,53,0,385
2010-8-18_22:1,230,42,53,0,385
2010-8-18_22:16,229,42,52,0,384
2010-8-18_22:31,228,42,53,0,390
2010-8-18_22:46,226,42,53,0,387
2010-8-18_23:1,225,42,53,0,384
2010-8-18_23:16,222,42,53,0,384
2010-8-18_23:54,219,43,51,0,389
2010-8-19_0:9,220,42,51,0,383
2010-8-19_0:24,218,42,51,0,387
2010-8-19_0:39,219,42,51,0,389
2010-8-19_0:54,214,42,50,0,391
2010-8-19_1:9,215,41,50,0,385
2010-8-19_1:24,214,42,50,0,389
2010-8-19_1:39,213,42,51,0,385
2010-8-19_1:54,210,42,50,0,385
2010-8-19_2:9,209,41,50,0,384
2010-8-19_2:24,209,41,50,0,389
2010-8-19_2:39,207,41,50,0,384
2010-8-19_2:54,206,41,50,0,390
2010-8-19_3:9,208,41,50,0,387
2010-8-19_3:24,207,41,49,0,385
2010-8-19_3:39,206,41,49,0,391
2010-8-19_3:54,204,41,49,0,390
2010-8-19_4:9,202,41,50,0,387
2010-8-19_4:24,200,41,49,0,389
2010-8-19_4:39,201,41,49,0,387
2010-8-19_4:54,199,41,49,0,387
2010-8-19_5:9,197,41,49,0,387
2010-8-19_5:24,196,40,49,0,389
2010-8-19_5:39,196,41,50,0,385
2010-8-19_5:54,197,40,58,0,389
2010-8-19_6:9,196,40,112,0,389
2010-8-19_6:24,196,40,227,0,342
2010-8-19_6:39,195,40,332,0,347
2010-8-19_6:54,194,40,406,0,352
2010-8-19_7:9,194,40,465,0,341
2010-8-19_7:24,194,40,501,0,348
2010-8-19_7:39,192,40,531,0,351
2010-8-19_7:54,191,40,561,0,352
2010-8-19_8:9,190,40,598,0,350
2010-8-19_8:24,189,40,628,0,351
2010-8-19_8:39,188,40,667,0,349
2010-8-19_8:54,186,40,818,0,353
2010-8-19_9:9,180,42,877,0,342
2010-8-19_9:24,162,44,911,0,355
2010-8-19_9:39,159,45,915,0,343
2010-8-19_9:54,152,46,914,0,346
2010-8-19_10:9,153,47,910,0,345
2010-8-19_10:24,154,48,905,0,350
2010-8-19_10:39,161,48,911,0,353
2010-8-19_10:54,169,47,923,0,356
2010-8-19_11:9,159,49,938,0,365
2010-8-19_11:24,162,51,940,0,372
2010-8-19_11:39,162,53,938,0,372
2010-8-19_11:54,166,53,937,0,366
2010-8-19_12:9,168,53,936,0,367
2010-8-19_12:24,175,55,929,0,352
2010-8-19_12:39,178,55,923,0,352
2010-8-19_12:54,183,56,925,0,344
2010-8-19_13:9,186,56,927,0,346
2010-8-19_13:24,187,53,922,0,346
2010-8-19_13:39,193,53,920,0,342
2010-8-19_13:54,194,51,900,0,347
2010-8-19_14:9,192,51,885,0,340
2010-8-19_14:24,192,50,854,0,340
2010-8-19_14:39,188,50,853,0,333
2010-8-19_14:54,186,50,842,0,345
2010-8-19_15:9,183,49,820,0,331
2010-8-19_15:24,180,49,803,0,333
2010-8-19_15:39,178,48,779,0,339
2010-8-19_15:54,176,48,769,0,335
2010-8-19_16:9,174,48,753,0,334
2010-8-19_16:24,172,48,745,0,328
2010-8-19_16:39,169,47,727,0,321
2010-8-19_16:54,168,48,714,0,329
2010-8-19_17:9,163,47,711,0,328
2010-8-19_17:24,165,47,697,0,331
2010-8-19_17:39,163,47,674,0,324
2010-8-19_17:54,164,47,661,0,330
2010-8-19_18:9,162,47,626,0,320
2010-8-19_18:24,161,46,602,0,328
2010-8-19_18:39,161,46,548,0,326
2010-8-19_18:54,160,46,507,0,320
2010-8-19_19:9,159,45,434,0,317
2010-8-19_19:24,161,46,366,0,321
2010-8-19_19:39,157,46,245,0,321
2010-8-19_19:54,157,45,144,0,328
